Actual,Predicted
4,3.472395094011528
2,2.0009093117579666
2,3.152283128890893
4,3.545855476382465
2,2.0009093117579666
2,2.0009093117579666
2,3.531841081063153
4,2.977894815784129
2,2.0009093117579666
4,3.5373687776266585
4,3.570404493006548
4,3.584659175030046
2,2.0009093117579666
4,3.437699457511968
1,3.125143629739265
2,2.0009093117579666
4,3.2748788093516548
1,2.8497809083743624
1,2.9580810100959094
4,3.1461846865795264
2,2.0009093117579666
2,3.4289140953626
2,2.0009093117579666
4,3.394506747910861
1,3.6424316372551506
2,2.0009093117579666
4,3.1954554917001885
4,3.288950145777487
1,3.0221218089846316
4,3.488593926028958
2,2.0009093117579666
4,3.6424316372551506
4,2.581486836347977
3,2.8056453825457304
4,3.509358318833004
2,2.0009093117579666
2,2.0009093117579666
2,2.1711472847170667
2,2.0009093117579666
4,3.3889389744103253
2,2.0009093117579666
4,3.3577772806918023
1,2.9160079716436456
4,3.6235292351524913
4,3.2432409128890316
2,2.0009093117579666
2,2.0009093117579666
4,3.198553549853503
2,2.0009093117579666
4,3.512880926726925
4,3.524655095397169
2,2.0009093117579666
4,3.661390161993568
2,2.0009093117579666
4,2.907197649288478
2,2.0009093117579666
2,2.0009093117579666
4,3.627788074103695
2,2.0009093117579666
4,3.5493144565152894
2,2.0009093117579666
4,2.8938999635031193
3,2.030742296484315
4,3.416971365358301
4,3.519638587425892
0,3.319337947794611
2,2.0009093117579666
4,3.5313455808478267
2,2.019545294927179
2,2.0009093117579666
2,2.0009093117579666
1,3.3474443865126378
4,3.1841171890260536
2,2.0715873669068503
2,2.0009093117579666
4,3.2079986576775177
2,2.0009093117579666
4,3.198305139995649
2,2.026195703926336
3,2.093121514505129
2,2.0182177884745425
0,2.97089139238024
2,2.0009093117579666
4,2.863939226461057
2,2.026195703926336
4,2.889543389929641
0,2.848742804572975
2,2.0729060736716893
1,3.1944321290911897
2,2.0009093117579666
2,2.0009093117579666
4,2.8951189431825757
4,3.5231244769811454
2,2.0009093117579666
2,2.0729958176110754
4,3.478307653423767
4,3.510584463201144
2,2.0009093117579666
4,3.4624759349745395
2,2.0009093117579666
4,2.8761136683352295
4,3.0445996569861014
2,2.06348928670825
3,2.817032498018413
2,2.0009093117579666
4,3.4121376115703623
4,2.8890655736079505
2,2.0009093117579666
4,3.210290639055381
2,2.0009093117579666
2,2.019545294927179
4,3.189892663182493
2,2.0009093117579666
2,2.0009093117579666
0,2.5834329307630384
1,2.078480990451282
4,3.12097629434404
4,3.548973991782265
4,3.5168720672078955
2,2.0679707893633927
2,2.0009093117579666
2,2.0009093117579666
2,2.0009093117579666
2,2.063884892031109
2,3.165025686066899
4,3.6914589528056485
4,3.0611850214119625
4,2.948101579180237
4,3.2279372336720806
4,3.6381727983039474
4,2.8902920422983605
4,3.5389918624638863
4,3.424743899422735
4,3.370597557750294
1,3.332753340638918
4,3.632226095763736
2,2.0009093117579666
2,2.0009093117579666
2,2.019545294927179
4,3.4517044744448677
0,3.4094723207975814
4,3.527820616364511
2,2.0009093117579666
2,2.059202218075888
0,3.1290303219316185
1,3.0463185676566753
4,3.4337794612538217
2,2.0009093117579666
4,3.6629628863216435
4,2.9290375848120345
2,2.0009093117579666
4,3.4919723247376258
4,3.445609839666189
4,3.53264938701924
2,2.0009093117579666
